D1,D2,rep,taxon
-0.0469288112573097,0.4673133216252,2,Typhlocybinae
-0.391993061685968,0.389145802744537,2,Psychodidae
-0.904273362452611,-0.447113120798802,2,Culicidae
0.686963866966255,-0.123187422015274,2,Calyptratae
0.543409808796505,0.215374180489259,2,Sciaridae
0.317206450735455,-0.473694880274823,2,Syrphidae
0.516715952643461,-0.0574971883437987,2,L. laevissimum
-0.721100843745786,0.0296593065737025,2,Lepidoptera
0.0527471329372181,0.554478196493792,3,Typhlocybinae
-0.27781579622988,0.47173226446689,3,Psychodidae
-0.871075509649913,-0.461521445409252,3,Culicidae
0.674701990404286,-0.166261563201939,3,Calyptratae
0.536965735642538,0.203699888652909,3,Sciaridae
0.259059684042379,-0.463008161441347,3,Syrphidae
0.41322297923992,-0.000869433164293706,3,L. laevissimum
-0.787806216386546,-0.138249746396759,3,Lepidoptera
0.0797007792445765,0.539517617340327,4,Typhlocybinae
-0.335868918967754,0.451997090107866,4,Psychodidae
-0.89719891789739,-0.423604241963381,4,Culicidae
0.634658812536905,0.0279265060213909,4,Calyptratae
0.475611102481231,0.152037797199943,4,Sciaridae
0.330623887805532,-0.507534058192913,4,Syrphidae
0.485932832286286,-0.148288561013203,4,L. laevissimum
-0.773459577489385,-0.0920521495000291,4,Lepidoptera
-0.0370409293356487,0.489917309008663,5,Typhlocybinae
-0.344508093014721,0.425137910806594,5,Psychodidae
-0.912217093075474,-0.364966377912864,5,Culicidae
0.631713633544569,-0.0269282949971234,5,Calyptratae
0.524388960247393,0.240035279952055,5,Sciaridae
0.289486117295163,-0.502192950866131,5,Syrphidae
0.576919543819293,-0.152801297030807,5,L. laevissimum
-0.728742139480572,-0.108201578960385,5,Lepidoptera
0.0763792688009971,0.40702659727061,6,Typhlocybinae
-0.319394779251759,0.378505015454908,6,Psychodidae
-0.89744005944961,-0.447212439784748,6,Culicidae
0.707499798041279,-0.0603709628603644,6,Calyptratae
0.474305192873189,0.322556418892999,6,Sciaridae
0.142103066936067,-0.538275937960983,6,Syrphidae
0.57975349838352,-0.012495814782337,6,L. laevissimum
-0.763205986333682,-0.0497328762300841,6,Lepidoptera
-0.0388032104074991,0.475944078714764,7,Typhlocybinae
-0.313120802352162,0.443842819648469,7,Psychodidae
-0.895272268383342,-0.459443661169891,7,Culicidae
0.712557360027498,-0.0611840342033291,7,Calyptratae
0.419994158347146,0.273781670787302,7,Sciaridae
0.275805400003949,-0.589308776410681,7,Syrphidae
0.527112000308411,-0.0704190427979984,7,L. laevissimum
-0.688272637544001,-0.0132130545686354,7,Lepidoptera
-0.0383600250855858,0.435430956538606,8,Typhlocybinae
-0.35938635262087,0.364715759992209,8,Psychodidae
-0.922357303894698,-0.321986180375614,8,Culicidae
0.660518569550879,-0.161301546264958,8,Calyptratae
0.583585367270183,0.279990021945963,8,Sciaridae
0.315969903625695,-0.503047343894824,8,Syrphidae
0.51201062016798,0.0147896630915805,8,L. laevissimum
-0.751980779013582,-0.108591331032962,8,Lepidoptera
0.0705354344118153,0.448494147585978,9,Typhlocybinae
-0.356102581051919,0.450307441791718,9,Psychodidae
-0.896892858925592,-0.589694787583295,9,Culicidae
0.652867271292855,-0.0746752960493652,9,Calyptratae
0.469805300271078,0.200024230925178,9,Sciaridae
0.285960750823365,-0.463145567312173,9,Syrphidae
0.505203270293012,-0.0808248770599668,9,L. laevissimum
-0.731376587114613,0.109514707701927,9,Lepidoptera
0.0659708509513227,0.499321815895703,10,Typhlocybinae
-0.293567552312459,0.477705944192363,10,Psychodidae
-0.866843188669911,-0.526856635786254,10,Culicidae
0.637025393630548,-0.0412842584181071,10,Calyptratae
0.474438844021948,0.186526218087852,10,Sciaridae
0.207928745566711,-0.572406313103683,10,Syrphidae
0.523592204220612,0.00719154904659906,10,L. laevissimum
-0.748545297408771,-0.0301983199144717,10,Lepidoptera
0.0349567206358951,0.476497535664364,11,Typhlocybinae
-0.32227254401658,0.434063380740056,11,Psychodidae
-0.91332430299187,-0.416048805276839,11,Culicidae
0.596927802976262,-0.169165393974103,11,Calyptratae
0.436433539798561,0.236677553392115,11,Sciaridae
0.242710924830521,-0.502575061061605,11,Syrphidae
0.662487019548433,0.0473089625845385,11,L. laevissimum
-0.737919160781223,-0.106758172068525,11,Lepidoptera
0.0489486017198172,0.561251429776521,12,Typhlocybinae
-0.346959455223997,0.433800194732821,12,Psychodidae
-0.866666736873719,-0.462798126517791,12,Culicidae
0.64036010492195,-0.000736894553393578,12,Calyptratae
0.447931153794582,0.27205096575403,12,Sciaridae
0.235025148448239,-0.463751335946037,12,Syrphidae
0.568499852175425,-0.271040419241725,12,L. laevissimum
-0.727138668962296,-0.0687758140044259,12,Lepidoptera
0.0330074133479323,0.48854302029323,13,Typhlocybinae
-0.292294443441404,0.428602671834232,13,Psychodidae
-0.92000883896562,-0.390840450820558,13,Culicidae
0.669669195052169,-0.163444302409454,13,Calyptratae
0.488054353032811,0.215200741512838,13,Sciaridae
0.250416038619748,-0.469235529856187,13,Syrphidae
0.552718879865037,0.0383889880735994,13,L. laevissimum
-0.781562597510673,-0.1472151386277,13,Lepidoptera
0.0258873875366073,0.467070562325647,14,Typhlocybinae
-0.304773873867247,0.467424629447621,14,Psychodidae
-0.900196394503409,-0.519935759803779,14,Culicidae
0.663017470221582,-0.0708877632439907,14,Calyptratae
0.503098147886418,0.25498909502276,14,Sciaridae
0.31189601042427,-0.557639207855589,14,Syrphidae
0.410886919445217,-0.0459211216142031,14,L. laevissimum
-0.709815667143437,0.00489956572153471,14,Lepidoptera
